gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Ttbk1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.052
Ttbk1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.033
Ttc12,Morphologically normal,2,2,WES,hairfollicle05-b1-t3; hairfollicle05-c7-t2,0.231
Ttc21a,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
Ttc21a,Skin papilloma,1,1,WES,skin04-c4-t2,0.075
Ttc22,Skin papilloma,2,2,WES,skin04-c2-t2; skin04-c5-t2,0.048
Ttc23,Skin papilloma,1,1,WES,skin04-c2-t2,0.101
Ttc24,Skin papilloma,1,1,WES,skin04-c2-t2,0.1
Ttc26,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.029
Ttc27,HF SCC,1,2,TES,hairfollicle21-b6-w14,0.332
Ttc28,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.043
Ttc30a1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.036
Ttc39c,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.034
Ttc39c,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.034
Ttc39c,Skin papilloma,1,1,WES,skin04-c5-t2,0.03
Ttc4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.044
Ttc41,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.096
Ttc5,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.122
Ttc7,Skin papilloma,1,1,WES,skin04-c4-t2,0.07
Ttf2,Morphologically normal,1,1,WES,skin04-c6-t2,0.091
